authors,title,refinfo,date,reflink,reftype
"P. Lessner, ",KEMET-100 Years of Continued Innovation,", IEEE Power Electronics Magazine  Vol. 6 Issue 2 (June 2019).",2019-06-08,https://ieeexplore.ieee.org/document/8738923,Paper
"A.P.Chacko, Y.Jin2 Y.Shi, A.Bunha, J.Chen,  P.Lessner,  ",Advances in Reliability of Conducting Polymers and Conducting Polymer Based Capacitors in High Humidity Environment,", ECS Transactions, Vol. 85, No. 13, p. 115 (2018).",2018-04-02,https://iopscience.iop.org/article/10.1149/08513.0115ecst,Paper
"Y.Jin,  J. Chen,  P. Lessner, ",Thermal Stability Investigation of PEDOT Films from Chemical Oxidation and Prepolymerized Dispersion,", Electrochemistry (2013).",2013-07-01,https://www.jstage.jst.go.jp/article/electrochemistry/81/10/81_1ec3-4-E50768/_article/-char/ja/,Paper
"X.Xu,  A.Gurav,  P.Lessner,  C.A.Randall, ",Robust BME Class-I MLCCs for Harsh-Environment Applications,", IEEE Transactions on Industrial Electronics  Vol. 58, Isssue 7 (July 2011).",2010-10-28,https://ieeexplore.ieee.org/abstract/document/5613181,Paper
"Y.Freeman,  P.Lessner, A.J.Kramer, E.C.Dickey, J.Koenitzer, L.Mann, Q. Chen,  T.Kinard, J.Qazi, ",Low Voltage Specific Charge (CV/g) Loss in Ta Capacitors,", J. Electrochem. Soc., Vol.157 Issue 7 (2010).",2010-05-10,https://iopscience.iop.org/article/10.1149/1.3391671,Paper
"Y.Freeman, W.R.Harrell, I. Luzinov, B.Holman, P.Lessner, ","Electrical characterization of tantalum capacitors with poly (3, 4-ethylenedioxythiophene) counter electrodes",", J. Electrochem. Soc. Vol. 156, p.G65 (2009).",2009-04-21,https://iopscience.iop.org/article/10.1149/1.3116246,Paper
"B.Melody, T.Kinard, P.Lessner, ",The Non‐Thickness‐Limited Growth of Anodic Oxide Films on Valve Metals,", Electrochem. Solid-State Lett. Vol. 1, p.126 (1998).",1998-07-10,https://iopscience.iop.org/article/10.1149/1.1390659,Paper
"P. Lessner, F.R.McLarnon, J. Winnick, E.J.Cairns, ",The Dependence of Aqueous Sulfur‐Polysulfide Redox Potential on Electrolyte Composition and Temperature,", J. Electrochem. Soc., Vol. 140, p. 1847 (1993).",1993-03-12,https://iopscience.iop.org/article/10.1149/1.2220727,Paper
"P. Lessner, F.R.McLarnon, J. Winnick, E.J.Cairns, ",Kinetics of Aqueous Polysulfide Solutions Part III . Investigation of Homogeneous and Electrode Kinetics by the Rotating Disk Method,", J. Electrochem. Soc., Vol. 134, No. 11, p. 2669 (1987).",1987-04-04,https://iopscience.iop.org/article/10.1149/1.2100270,Paper
"P. Lessner, F.R.McLarnon, J. Winnick, E.J.Cairns, ",Kinetics of Aqueous Polysulfide Solutions: II . Electrochemical Measurement of the Rates of Coupled Electrochemical and Chemical Reactions by the Potential Step Method,", J. Electrochem. Soc., Vol. 133, No. 12, p. 2517 (1986).",1986-12-01,https://iopscience.iop.org/article/10.1149/1.2108463,Paper
"P. Lessner, F.R.McLarnon, J. Winnick, E.J.Cairns, ","Kinetics of Aqueous Polysulfide Solut ions I . Theory of Coupled Electrochemical and Chemical Reactions, Response to a Potential Step",", J. Electrochem. Soc., Vol. 133, No. 12, p. 2510 (1986).",1986-12-01,https://iopscience.iop.org/article/10.1149/1.2108462,Paper
"P.Lessner, J. Newman, ",Hydrodynamics and Mass Transfer in a Porous‐Wall Channel,", J. Electrochem. Soc., Vol. 131, No. 8, p. 1828 (1984).",1984-08-01,https://iopscience.iop.org/article/10.1149/1.2115969,Paper
"L. Ning, Q. Chen, P. Lessner,",Method of producing solid electrolytic capacitor and capacitor made thereby,US10199175B2,2019-02-05,https://patents.google.com/patent/US10199175B2/en?oq=US+10%2c199%2c175,Patent
"J. Bultitude, P. Lessner, A. Gurav,",Multilayer ceramic capacitor structures for use at high power ,US10147544B1,2018-12-04,https://patents.google.com/patent/US10147544B1/en?oq=US+10%2c147%2c544,Patent
"Y. Freeman ,S. Hussey, J. Cisson, P. Lessner,",Tantalum capacitor with polymer cathode ,US10062519B2,2018-08-28,https://patents.google.com/patent/US10062519B2/en?oq=US+10%2c062%2c519,Patent
"R. Hahn, J. Poltorak, B. Summey, A. Chacko, J. Kinard, P. Lessner,",Low ESR Capacitor,US9959979B2,2018-05-01,https://patents.google.com/patent/US9959979B2/en?oq=US+9%2c959%2c979,Patent
"R. Hill, P. Lessner, R. Phillips, K. Brown, J. Byrd,",Multilayered ceramic capacitor with improved lead frame attachment ,US9799449B2,2017-10-24,https://patents.google.com/patent/US9799449B2/en?oq=US+9%2c799%2c449,Patent
"A. Chacko, J. McConnell, R. Ramsbottom, P. Lessner, R. Hahn, J. Bultitude,",Method of improving electromechanical integrity of cathode coating to cathode termination interfaces in solid electrolytic capacitors ,US9748043B2,2017-08-29,https://patents.google.com/patent/US9748043B2/en?oq=US+9%2c748%2c043,Patent
"A. Chacko, Y. Jin, R. Hahn, Y. Qiu, P. Lessner, K. Brenneman,",Materials and method for improving corner and edge coverage of solid electrolytic capacitors ,US9236191B2,2016-01-12,https://patents.google.com/patent/US9236191B2/en?oq=US+9%2c236%2c191,Patent
"S. Hussey, Y. Freeman, P. Lessner, Q. Chen, J. Qazi,",Hermetically sealed polymer capacitors with high stability at elevated temperatures ,US9147530B2,2015-09-29,https://patents.google.com/patent/US9147530B2/en?oq=US+9%2c147%2c530,Patent
"B. Summey, J. Poltorak, P. Lessner, Y. Qiu, R. Hahn, D. Jacobs, K. Brenneman, A. Harrington, C. Stolarski,",Solid electrolytic capacitor and method of manufacture ,US9053866B2,2015-06-09,https://patents.google.com/patent/US9053866B2/en?oq=US+9%2c053%2c866,Patent
"J. McConnell, J. Bultitude, R. Phillips, R. Hill, G. Renner, P. Lessner, A. Chacko, J. Bell, K. Brown,",Electronic component termination and assembly by means of transient liquid phase sintering and polymer solder pastes ,US8902565B2,2014-12-02,https://patents.google.com/patent/US8902565B2/en?oq=US+8%2c902%2c565,Patent
"Q. Chen, H. Zhang, A. Chacko, P. Lessner, R. Hahn, Y. Qiu, K. Brenneman,",Process for producing electrolytic capacitors and capacitors made thereby ,US8771381B2,2014-07-08,https://patents.google.com/patent/US8771381B2/en?oq=US+8%2c771%2c381,Patent
"S. Hussey, Y. Freeman, P. Lessner,",Method for making anodes for high voltage electrolytic capacitors with high volumetric efficiency and stable D.C. leakage ,US8349030B1,2013-01-08,https://patents.google.com/patent/US8349030B1/en?oq=US+8%2c349%2c030,Patent
"Y. Freeman, Y. Qiu, S. Hussey, P. Lessner, ",High voltage and high efficiency polymer electrolytic capacitors ,US8323361B2,2012-12-04,https://patents.google.com/patent/US8323361B2/en?oq=US+8%2c323%2c361,Patent
"Y. Freeman, P. Lessner, J. Poltorak, R. Hahn,",NbO capacitors with improved performance and higher working voltages ,US8325465B2,2012-12-04,https://patents.google.com/patent/US8325465B2/en?oq=US+8%2c325%2c465,Patent
"Y. Freeman, P. Lessner, J. Poltorak, S. Hussey,",High volumetric efficiency anodes for electrolytic capacitors ,US8308825B2,2012-11-13,https://patents.google.com/patent/US8308825B2/en?oq=US+8%2c308%2c825,Patent
"Y. Qiu, Q. Chen, P. Lessner, R. Hahn, C. Prince, K. Brenneman",Process for manufacturing low ESR conductive polymer based solid electrolytic capacitors ,US7754276B2,2010-07-13,https://patents.google.com/patent/US7754276B2/en?oq=US+7%2c754%2c276,Patent
"J. Prymak, C. Stolarski, D. Jacobs, C. Wayne, P. Lessner, J. Kinard, A. Melody, G. Dunn, R. Croswell, R. Chelini,",Thin solid electrolytic capacitor embeddable in a substrate ,US7745281B2,2010-06-09,https://patents.google.com/patent/US7745281B2/en?oq=US+7%2c745%2c281,Patent
"Y. Freeman, P. Lessner,",Method for making anodes for electrolytic capacitor with high volumetric efficiency ,US7731893B2,2010-06-08,https://patents.google.com/patent/US7731893B2/en?oq=US+7%2c731%2c893,Patent
"A. Chacko, G. Sivasankarapillai, Y. Shi, P. Lessner,",Linear Hyperbranched Polymers as Performance Additives,US10128054B2,2018-11-13,https://patents.google.com/patent/US10128054B2/en?oq=US10128054B2,Patent
