id,imagelink,imagetitle,pagerow,pagecolumn,page_id
1,https://lh3.googleusercontent.com/Z1y6Uil3kQoJKEzTvnhwmQEoeFuY28woi_n-DcrtDo3mkYftjd8g_SDfndGeYZ9sLBgVMCcMGoy2F8I9qTKHAkKlq57p4xeAw-fhq7KfjEVGbkMXGkcJqavMDJembBfqNjzSGtlenA=w2400,Glistening-green Tanager,0,0,1
2,https://lh3.googleusercontent.com/RrnZngrB2SwNVnKlSRXNWpG-6zLjaLLrR4CrzJ5ybUNXs6ctPRtkO9e3j4SPHBVTUgaG8-VNiO5IaZvvxWRRE4cXGWa739ZqDxsoWfLIJhKErNWwMJULCn6DJTHGRNTjS6ks6j8kOQ=w2400,Flame-faced Tanager,0,1,1
3,https://lh3.googleusercontent.com/EDqrcjto_pCoMZDkU_CUrcTVyzNhz0KzS571gxKKxjpxz0P4Af7i9F5vK9aFUufv8vDCEIn7id7cl6kP2gomo206yNlRx44ha64nSOX4YqCq6sAcAN0kyWPvgFawyHqDm26ZPxbmIA=w2400,Orange-Bellied Euphonia,0,2,1
4,https://lh3.googleusercontent.com/INJL-f9jw62okmBl4G7xMZypGPgpa9Vnmcf2OQjFJ1bJZGtetzBd-RpRx6xACJ2sHBrZLpKLasGtU4JsACkwa30w_R1MxUmw1C0rbusXcPwegLkP0-uHO6c4RHld8i82aZHYAE0seQ=w2400,Male Ecuadorian Hillstar,1,0,1
5,https://lh3.googleusercontent.com/0DP0IeEReoODLYxg94F5cz9-N0ruXTthO8b0JEUW5pZg93Epw8lnFL_ZOSlMmYiBS6PqV0u8AU-SnYUmeVwYEGfPei54CLsgmqaPpwA_m5z_pGAHaZgDv700efSlCbf3oL4Bayd2cA=w2400,Crowned Woodnymph,1,1,1
6,https://lh3.googleusercontent.com/QgUvXkcvBB-QnCROv8VabSQ0h30P2eLTVc7o4rnVUN_L5yI8W7-q54okoidsTcVfqx-9Zs9jXruSo8AKUhPN4OQF396gDneT6WuiLfRQRMXTB6XZ3Qpb47nL1kRkQI4ytdxy7lSY9Q=w2400,White-Necked Jacobin,1,2,1
7,https://lh3.googleusercontent.com/TO8Rqj4XrmnM_fIos57yghQpX-7xl8m9NBVA90Roex9XXJQ8m4BYZUT7b2dl9c4yXPfYE50Fp_9luoj1a235USEe50bN70OCd-KCNQmXNMBI_611SjTYR7flBZNY10A3cOT-mFwYCw=w2400,Collared Aracari,2,0,1
8,https://lh3.googleusercontent.com/SI5bDdOoi-vbCIwnlGboq3ztA5uP9ysmOUI5tReJXefWXDu28QEIkCAbq4ZJLPE-FRcZcXqjxphRbAG6lKkyc032BsSY0ANzjY5gC859ZWUTpfcTV6LoeIBqlrDJqkOHpO8Cj2YPrA=w2400,Andean Cock of the Rock,2,1,1
9,https://lh3.googleusercontent.com/eHNXVNRGNcSmoyYbsR23-_NFSc33Ytz9WerY-nVL6mb84-RPVjbJemtpaNah7d-6yRoAc5T1tkd2qne6aAPmhx-vdGq7FtqEIFuTCGpTcCyljtmdpuqK7pDPjz8AFybkmuEcjffUvA=w2400,Male Masked Trogon,2,2,1
10,https://lh3.googleusercontent.com/g85WMHn88SJs6I_veBFL7MmlQqSH-j3F10kXbtmiUbvmH31_5fqXOcQ9DMBRqpA-x9cr_E2_33tSeJjr2gy22AORYLOngcuUZL6IH3GvzIn-AOGFxdaRvFry9h0cf-COQ928zchTGw=w2400,Buff-Winged Starfrontlet,3,0,1
11,https://lh3.googleusercontent.com/PJLSFsiOp63pwa5pIygGF76-vdiKGO0I_1rR8auYT0Pm5h287p4DSXPi8Fq9FqI__bjJ4Obwz0LHbTUbcjwtqqv-ezDIFK1pO1wgEUahIc9O4M9L3xQ_Clm2KNzVUDuzrnBL8p5viw=w2400,Violet-Purple Coronet,3,1,1
12,https://lh3.googleusercontent.com/4EQHzHkciQ5VN_U7-rBV0yGrburaafmjbytH46wbpveOvsRsrpP6SxHhrXLvXRzxtSh3ch0zPwA9H2G45wDV87F3f4pRbT03yJ4JUwnWVn9sD5cT0OKGqQhUg1fsO4VZFlYnW7apvQ=w2400,Violet-Tailed Sylph,3,2,1
13,https://lh3.googleusercontent.com/pw/AP1GczNbh3-cbh9zwTBLjRC37KnWol4qL7jWnr5zmXi7AfNCgNvncbKMHeYGMx2JVu2xWpU-Ktzxs3jS4-pxKSkUYrupW1dPGg1k7aKCaSSk0L41ui57rZjBWl3o5n2DAmKKRgfjfvooaIgJ_0Sq---hSFEi=w1402-h933-s-no?authuser=0,Male and Female Brazillian Tanager,0,0,2
14,https://lh3.googleusercontent.com/pw/AP1GczOOidVAU7_r3prZYmTzo2yyJBaedSL7n8xDLvobduNxa4wLGPzHvUaT8jRkfh4AnGJQO5omtbwFAEvasT6nX8XguhMCOuSqq1Vi02d12txWnusScM3gEKKJgKvbVa5j4-YrLh9sOeSGIUtLgcb5_agk=w1402-h933-s-no?authuser=0,Versicolored Emerald,0,1,2
15,https://lh3.googleusercontent.com/pw/AP1GczOfZREyvb0K7z1qOTjWI_Vm9AyqlRF2Sym_6udZBJSoNl4hbeVxhFlDr9l947uTwJRzgVgH6_0jrCka0DnH_RCK-qm2QigLd_oCmaPrOudiNt7xcAhY0PXidUiWYMpPm_K9roW8HuTBdUEDoKqS33Qz=w1402-h933-s-no?authuser=0,Brassy-Breasted Tanager,0,2,2
16,https://lh3.googleusercontent.com/pw/AP1GczPQ87UT6l7OjQoXD9ZbUCb8afi6SJWHtPLUyuZ5kJqkhhWhphCZ3UyMDi6K4--HskAWkgxNRdQLC9CgEbx7iB_Ejdee_k29M9BBK1szUpw7cj-f8fX6diNrRU6lB0z_-flcRWNDZ_PQpM8Aq1HIWIaB=w1402-h933-s-no?authuser=0,Male Chestnut-Bellied Euphonia,1,0,2
