imagelink,imagetitle,pagerow,pagecolumn
https://photos.fife.usercontent.google.com/pw/AP1GczMv10h4Te6BcqVPTTRK4Jj7pdBCWmbonHADl1C5CtQFlZrbQHsXzOvN=w2046-h1293-s-no?authuser=0,"Turkish Delight in Store Window, Istanbul",0,0
https://photos.fife.usercontent.google.com/pw/AP1GczM9xdg9oDtzsCcL-RsSN3H6thagTzi0CrT9wBWMd2ZkUBOekzZo8tGo=w934-h632-s-no?authuser=0,"Entrance to Grand Bazaar, Istanbul",0,1
https://photos.fife.usercontent.google.com/pw/AP1GczOhBuX2Yz8mroKTt6NldIAMSE4GBx_RDhJTLRZSuwqGPyEjb0Bwd66w=w945-h632-s-no?authuser=0,"Grand Bazaar, Istanbul",0,2
https://photos.fife.usercontent.google.com/pw/AP1GczNLtY5jYPzGfZRPdMD8aDUwoKjlXNG3DaCZKZmjrsp-5OdJGhBAuXs5=w978-h632-s-no?authuser=0,"City Wall, Istanbul",1,0
https://photos.fife.usercontent.google.com/pw/AP1GczMXjbz588xAiilIpUIqjfrKbwGMrzAPV5ks9HyJwK1x_4Q_8Kn0RKoB=w1273-h632-s-no?authuser=0,Sue in Istanbul,1,1
https://photos.fife.usercontent.google.com/pw/AP1GczPJZME3T5uj5XjFWjA068x6jeBYOSKdXNs5DuY94eXiDYxWHkXflWPw=w1546-h632-s-no?authuser=0,"Palace, Istanbul",1,2
https://photos.fife.usercontent.google.com/pw/AP1GczMFN5MPfoFEOGoIWzkvCxXruUv6-ZEDM2eUjjVr3cdKkZPiCjkPDT3V=w652-h632-s-no?authuser=0,"Basilica Cistern, Istanbul",2,0
https://photos.fife.usercontent.google.com/pw/AP1GczNeEyFmtX08c0HZW7PbShK3_PEdqHwKSj4RSS8QjDo_DmzAuyrgKsU1=w540-h632-s-no?authuser=0,Sphinx at St. Peter's Castle,2,1
https://photos.fife.usercontent.google.com/pw/AP1GczODH3Em2XVZGHJFKbPmVgz1l8m7_Zy_kZHGk7j3wFKphFHtnNacZDVZ=w945-h632-s-no?authuser=0,Sue at St. Peter's Castle,2,2
https://photos.fife.usercontent.google.com/pw/AP1GczNM2thUfODWSutUC6NQMquAwmY21gWBqv5kQzppos77mjjjR7r-S4cQ=w1287-h632-s-no?authuser=0,St. Peter's Castle,3,0
https://photos.fife.usercontent.google.com/pw/AP1GczNpAKe0S9SRV-0ijTuW9s_1IyI0cimJyzeXIlmRgs9GF9ZM0M9U76aZ=w587-h632-s-no?authuser=0,Lion at St. Peter's Castle,3,1
https://photos.fife.usercontent.google.com/pw/AP1GczMZRBLnClE69AdyBnI7hcreffmzSyB_fMcd15rlVDiGrrvd3EIKqQLt=w891-h632-s-no?authuser=0,Cannon at St. Peter's Castle,3,2
