imagelink,imagetitle,pagerow,pagecolumn
https://lh3.googleusercontent.com/pw/AP1GczOJ7XKHIPM9D2SWjptZ_oD5to5ik2kEJD9Z-cyC7MFW123ou_FyZgY0FxBWWJX3M8iPEXNPMbuCeyJUNbMU1IFQfmjRc-wL0hxR7Kv_5bIib0kI7QQEtRpil0pul_3EXmnWgyzI-084aFElyntlVfiP=w950-h632-s-no?authuser=0,Female Brazilian Ruby Hummingbird ,6,0
https://lh3.googleusercontent.com/pw/AP1GczM0uqnaMvI1lCbuF8SA2GFu3zPGfsTolubsg7nY0PijFGSVqIbBi6_mVUGevYGrQMbeaLd-nBqvOfiY4pyAIIJ_aB64tPjNf031f-B0VpKr25f3sIDEM8adyS5n3s6vvNtzJRXc1xrmKWNbA4MKv_yG=w950-h632-s-no?authuser=0,White-Throated Hummingbird ,6,1
https://lh3.googleusercontent.com/pw/AP1GczOOidVAU7_r3prZYmTzo2yyJBaedSL7n8xDLvobduNxa4wLGPzHvUaT8jRkfh4AnGJQO5omtbwFAEvasT6nX8XguhMCOuSqq1Vi02d12txWnusScM3gEKKJgKvbVa5j4-YrLh9sOeSGIUtLgcb5_agk=w950-h632-s-no?authuser=0,Versicolored Emerald,6,2
https://lh3.googleusercontent.com/pw/AP1GczPwXcXtAm8ohhN5ZWENqE_PGEEzZvmpalDr83tUXmUU2K-5obZbsFmAgoPhugr7_nmktG1zImCW1LOEGLzBc1KlOIIy6W6787TpEffCJB_m5BmqPhnZ1eK0JhVMCVTCBAOA6iRZnYSquLhQ3FYXzlXz=w950-h632-s-no?authuser=0,Male Frilled Coquette ,7,0
https://lh3.googleusercontent.com/pw/AP1GczPN0s5zYI65UqXm79OD6pzIf7pNQagEwS5YHFyIGCuOYmlJEEwZVR6vk8aRo2YKmLnL2R0RrgIXg0ONpyesVTSj1vi1Wc8ChRhln3jLE3edQT8DCl8ZnSwxAinZG_BZBuTpK8gCw-ft3_TZluajJcEg=w950-h632-s-no?authuser=0,Violet-Crowned Plovercrest,7,1
https://lh3.googleusercontent.com/pw/AP1GczMsEN6UggxD-Dw7T8IQu-nmFrmjQ1yYY4oo8eXAPkL3Bbi4t27zKCpe28Wo21SGcDQqZbeuUvuruaviQhUEcp7tRgWaeuqLJ0m4qGKuhOKcOx73Gh4MBTma-XcrxulsGt6sFh0aTuKJ0xzoBTQapnY4=w950-h632-s-no?authuser=0,Male Amethyst Woodstar,7,2
https://lh3.googleusercontent.com/pw/AP1GczMFDe318RuoJ5GnajgqkNknYbGtCWJyQJwpHLCk--t3yR_rkI-oO7UxnmM07ozTi8hL2fg4-Fe7ii7OrORuiN3mb5nB25_Wr_P0mQsgyJ97DfmlsE8zfIuzYDXN_iVZQjbjc7RNCST5BonojHbGkosX=w950-h632-s-no?authuser=0,Black-Throated Mango,8,0
https://lh3.googleusercontent.com/pw/AP1GczO6Ebu4317CdqW8brDkr8uBCZOMVASWZ1Zmm0M_wOnOhC9PKRtcsP2py9thlPBlIy4FFUKewvP-mixcLrRucNg_nXwqbYd-7GfabCPRHkfT132Qz7RPgz8czFMIP1EAHGvVffv6WqBThZ5Q2UO8DtU7=w950-h632-s-no?authuser=0,Black Jacobin,8,1
https://lh3.googleusercontent.com/pw/AP1GczOCquE6jHHU70jSAejlc5axaqkcArt_5qGW1S4E6ophWLcn-aPvGaXZEa3otyQ7QLMHDgDMD5q6piVF8N7sKJVVaflx3b3GZyRRwHyczPSgbRnnEoqbtu18VmkdlqOqNBp-VHn-Hjcd4-2XFNDLmfYR=w950-h632-s-no?authuser=0,Male Sapphire-Spangled Emerald,8,2
https://lh3.googleusercontent.com/pw/AP1GczPEDbyJLB53mP5wF4LzkHzwyfDiMneMe1DVkP80WgQwudD40zsZNAh1TBmN9Xo41ewb6tOQLp3z6cSPcRwIe4cOJusQVXOp9A7QLyrn63wlAH-nvfk3v5TQU2eU2XQ8taKVLD1so2jv113hdQ7wJ9Bf=w421-h632-s-no?authuser=0,Immature Male Stripe-Breasted Starthroat ,9,0
https://lh3.googleusercontent.com/pw/AP1GczMxoGC5y85hsFkP7imnva-qy1dvmYBqdvwzWbchEQ2XMmD4k6kLlZ-RfqRNGpzYb-kbau_XUfkSdV3BhPd-jzXa5wqf_AYkpDssz5Nz2ZZ8VR6UV9CKLHYpcYsEgRmxCoTnlN8tjaCxXVKRDDfTmTsB=w421-h632-s-no?authuser=0,Female Brazilian Ruby,9,1
https://lh3.googleusercontent.com/pw/AP1GczOKTATUzZ6fKwfkfy_RLALdSTN9jys2NUAHH7KA6OJZAxcrs0u0W1fo6YmUKgMJnMeR4ViiD3ZZDdHK7j2wj2WPFFJCpj20lbhbjl6UFTia1MRJzLXCcoVQ1zH7W4fzIK0Y6CTFublfkRC-3V9LcJGG=w421-h632-s-no?authuser=0,Green-Billed Toucan,9,2
https://lh3.googleusercontent.com/pw/AP1GczP0R7sKHNbQS20SaA6dWj4W_lRi9jDl5mA7BF67O7EWGqTLRBINU1jMF5EF2afrJebUd348IjQQt5pOyKoTbZYcTfakV0dhOQaTx_dJ1OQ_OsLCR3bIa0m7njqqWAcKMcLMDIlyNs43ix88_INGFwpX=w950-h632-s-no?authuser=0,Scale-Throated Hermit,10,0
https://lh3.googleusercontent.com/pw/AP1GczMzIUY49-XPQnmzlTb_zJ0SCubWSTfTXtfopaviRBH1DuuU8pPznpQzLwTu_lqZKO2y5QNERJFu05TuY0mxiW86wKGOqECLN2iN4PSkKA7qJt7lrgb2zz9v5phqiP6ztEr1brBWMJJT3aZQHtRweJAg=w949-h632-s-no?authuser=0,Swallow-tailed Hummingbird,10,1
https://lh3.googleusercontent.com/pw/AP1GczPR32WXSU5Cg_lsOsdztDvSgtqlTMgB7rYAynZsJPn-lcZkXxJ4ja-HJa0nXO9K2rDk3fQcZCvA2YS5fGvxG1nEIlmVcR_SZfxnWasZJxUOXAiFNe5w-Tf6fNm_WCcQyFmODTDGEc6OMAcRfrzkZkgQ=w949-h632-s-no?authuser=0,Glittering-bellied Emerald,10,2
https://lh3.googleusercontent.com/pw/AP1GczNYS8mXKMX5Gm1bbJ1QMLFaZ8Vojg-Z1lceP7q1tfk4QuDf-IoPnnNBiMnyshFBmsZKs8V-x7Fpu_yCez7WPDdHo5NcJNyJldP5d3gKOiTJJG7e96hE8UCpnc8nfiDn_7mmHrfAzPmbMdlKb7vh-CGt=w949-h632-s-no?authuser=0,Cocoi Heron in flight,11,0
https://lh3.googleusercontent.com/pw/AP1GczM-VGI41Skgazn1JPcU4s2Xf32RjTK4U-QorYi0cg5og4vExcJuO2KKuYTUx25kMOr4934Z6nFQk--o2SC7qJ5g0f_CrYSbVal5SkVvVN7pB78jrId9lZsgm7QBuG-EHjGdcvwft4xaEb7RtYbgibIN=w948-h632-s-no?authuser=0,Capped Heron,11,1
https://lh3.googleusercontent.com/pw/AP1GczPSjoJ7zH0r0hAIuQsc_pG33JJpTOQGQDwet8H8XjjAPl_ZWod9DGA-8mCQjp8qIIFjVCqaH98Cq9A6h39imkeJou2jSiTeA6eQXQMrpJPlwgC8kg66NU0gDKDVPV-C1_v9V4wjqAQo16OBRdOa2ksL=w949-h632-s-no?authuser=0,Rufescent Tiger-heron,11,2
https://lh3.googleusercontent.com/pw/AP1GczOPgAPDqfireaQ469mMLvh-axyHUX-boDltaD3xO7F2sMD3FLLD2SGAR0U1hOfKoxkfjh9YqGS8MCfi8_4sikWhENx3Rza8QPj2S4n7HXiugEGFXvBI_puLmeqsO6EOpH136HYkFezgiuw7W2V3zgFg=w948-h632-s-no?authuser=0,Sunbittern—Bird of our 2014 trip for Sue,12,0
https://lh3.googleusercontent.com/pw/AP1GczNrkDXm2o4na9m55sb1cvCFstXOZwZAUgJHMiZPlMBNppP8CC6NizHyH7RY-07qrHePhU9jLZystYhldWUmmgYOKbQ7nvukP0Q0RvKkHHlApHPMp5atC7vUD6sTpICoXx-FTB7_WICSrIipnFtvvOtj=w948-h632-s-no?authuser=0,Maguari Stork,12,1
https://lh3.googleusercontent.com/pw/AP1GczMhmpwUGen45aPm4onMbiXeJYnv6zt-O33vKRinMA5bAeL3rxahnL0pd0JBxwICk4QaJSamUU4xY7NUmctoAOmVymobOmfQt2tqSPwvCZm64709xiaQGLJeZ44iQRJ3yqMC8NyBqpKTe-HBJydoP-eF=w949-h632-s-no?authuser=0,Black Skimmers resting on a sandbar in the Piquiri River,12,2
