imagelink,imagetitle,pagerow,pagecolumn
https://lh3.googleusercontent.com/pw/AP1GczOjW7pdVCUp8AxSpAMSowqAJk9p1jnLvchFoPwWaeQZGlsXaVY4ZOvXAabMLYVJ08ZplamLxxNvV5ebEEP-_cnONMGa4T_GmzGX54qliLRPDjHOy33hjtYpDvz7zVOTVp6DZ7-3SrfgUPt5BgbKE0Kt4Q=w843-h632-s-no?authuser=0,We tried out the special 'byong-byong' noodles in Xi'an,10,0
https://lh3.googleusercontent.com/pw/AP1GczO6DQsevhFsCpQMv-ReegdfdVzcgAsNeqgCm83vtvoRDQkZAww33TrcbVch7vpaoPYWkHEIo6rxZp9bprQenY-sK_8HUQqa1AxbFXpXuf4dpSqSU4E4424V80XFYtm9StaGDUIJ7-VsRSzOksoODHZ8KA=w949-h632-s-no?authuser=0,Pit #1 at the Terracotta Warrior Museum,10,1
https://lh3.googleusercontent.com/pw/AP1GczObJ9zm3XVwtLLUBqO2c1uvLsyrMAIqRMWemt-hYhJiY_LeCQh6s9ECCifFUKrZyPTa9vXnI5q6nkerS5BLoOpAm5WyXMODnmovgcVL2QL_WtFLgp2DXms9WCeyrChJiGe3XBbNDYBoc_Qp7ifo3xgVfg=w949-h632-s-no?authuser=0,A closer view of Pit #1,10,2
https://lh3.googleusercontent.com/pw/AP1GczPPHCD18m_DngfGKqR1VjZZixsOXG9JrDg-38geW-8tWzRWHKt3SGn3hiIB43x_SZzQNZT6fwWZrt50_PpzhQ1aFiyBqcoL0DXlGhfoCxOT8v-eitv314dqnTRZbLzLCaOrVkrNUrvAyPjyXFOZDRI5mQ=w949-h632-s-no?authuser=0,Pit #1 from the side,11,0
https://lh3.googleusercontent.com/pw/AP1GczNfss92AHqsKDz8uUU4S9aJRR3iTKrc_RSDcyiG9SyIFuDzshf-eFAaT2ie9tVZaHmXrdPZKDpZuo3pzONv9MT9kYR21t6-4P2tunRXjlW2pc0Amr-co0f5qSCdSXh-zk3FfJiSw62NK0Abng16XItfnw=w949-h632-s-no?authuser=0,Pit No. 2 is thought to represent a military headquarters and communications center,11,1
https://lh3.googleusercontent.com/pw/AP1GczPxuFgZNWkguy8YFy9dKbyXM4Cm1TONzCsElgNFy1ZZt_nNxlr-yGvyi5Tye6d8mToMnkpPIZU0_Nymot708sTcMGa8OjjPoEq0RoQnSEU8Z2agSGgIWQam9ifvFIpzCrSIzrb9_0SL-SLPowS-t3Z4lQ=w949-h632-s-no?authuser=0,The military leaders hold a strategy session in Pit #2,11,2
https://lh3.googleusercontent.com/pw/AP1GczO011EOPKwJjJRARdGPcsYy5pnR6GNY7zbsLYVyfFxhXynLjB0zNK-ZYxy3LaDiF6h7AEAKJY_UV8G2PZRdOMj72isQiXO4AkBYO2KnQAMkEF8Z2h6c4xaN32BRowuM63JS17hImQaWsF-VRE9G8rlLiw=w949-h632-s-no?authuser=0,Original state of the Terracotta Warriors,12,0
https://lh3.googleusercontent.com/pw/AP1GczMFYQWCQswCPTBKW0krr7VPi2jOwm9tKaFuIlZDeuHLeJ2rn6UqfZZ5Qeei5JGQcUQRAcu6FudHZtpPIa8RdSPyr9kVSWrslw-YSnkPMkc0TUPZ6OV0db4M4b5XE5b0yz1pnr80YnGhxs0o7q3ZGX1L5w=w843-h632-s-no?authuser=0,Photo Op,12,1
https://lh3.googleusercontent.com/pw/AP1GczMiv5_39Ho5-0-DK0JQ4K3X7kLimZVAiTnErO6usyVjFKrjEQ9fpM-MCNGahVJj4M69Bfj7A63daGt3yLv4EC0M7Tt62QhtTEpFjyC0BbvtSPNGJyHfWt5lRmTZni2bDnxiGQWnMbzy4L4jSW-Eiw9I3A=w866-h632-s-no?authuser=0,Haming it Up with the Replicas,12,2
https://lh3.googleusercontent.com/pw/AP1GczPspjuIhSjXRbpqoDGkxwQu0EQRjv_3t2rgTmmZH3ySSJGzeLr_kQ5rn__VFdqxZuUDKMtBBZ8Ko0-PqXrFd4KTZki7IdaL6B6Qu5Lkn6ZnLe2EPX-97omP0BNz_H9NaIQcOmT-iUgoeFLQ67u_Vhu3WA=w390-h632-s-no?authuser=0,Phil and Sue at the Silk Road monument in Xi'an,13,0
https://lh3.googleusercontent.com/pw/AP1GczOpX6M5W_pfHbYviAbo_Ms5ZtwqofnOGYaSoW9wNfG0mszhirayVBfbUoixxF2FFIjpMKeyH8uioWyamKmasU9ulIKgsxpRuhFVhDeV34MnUHdyBok3DhbFwKVXbl93VvfCM3NYSCwXju6EYG9ljp9CZg=w949-h632-s-no?authuser=0,Monument to the Silk Road in Xi'an,13,1
https://lh3.googleusercontent.com/pw/AP1GczPgjdfcIs2rUK_xZV7w7sqE4vj3JAJmxRS8ojSZ1c5zdlwi4AyaYrkxV-XYvQdsOoHN70iVusaMsVqCzhPD0pKkQD9oD3N_a8c-faVVi99t3KTaBs1Jv7BNmXFb-1zg2By7i7ctHcxlQeud40IwKqABzA=w949-h632-s-no?authuser=0,Temple in Xi’an,13,2
https://lh3.googleusercontent.com/pw/AP1GczN-71Ih1wkAe71cmN7gAYA_w2gW2R58gik-Jq_8dBo_d_SrTVoaNUiiHN8w2_uRPU7XoCvD0EJD1YIyKKTv5_ZnaQGyGX-ypXk0sfhB2t87gCebPB8VeUf2QGpg8SiG2oMIkqZ_5BfnMXQuMY-ab3AV5A=w950-h632-s-no?authuser=0,Monk at Temple,14,0
https://lh3.googleusercontent.com/pw/AP1GczMiZDS7hvvbQxZFVm2_x9FrgcWHuzZtNfZnrdDntOMM_AN5ca_eaRTIo2EAJUnT-LHuMU3FmYrzWsOGCSFKjaPYU9YDmB_uza314jK_4AjOrmAsJKs2lG-RPX7dgzKA2JJqp3-z5tNnUhMY5cG9DitElw=w949-h632-s-no?authuser=0,Large drums surround all 4 sides of the Drum Tower pagoda in Xi'an,14,1
https://lh3.googleusercontent.com/pw/AP1GczM8vXPVBRpGObXyaPvFxAJBRA3a_P03I-jYOPKHal7-zGQGEb9g4bgW8LtHJIDsoNGglWmz1CfOiSuzvH_byMfU8FqIaU76WCEoedJbsZymhKDUi-qabRA2xXntitEjnNNRjv3rUSo20cpU9Yd40gn1Fw=w949-h632-s-no?authuser=0,James Chen poses inside the Drum Tower in Xi'an,14,2
https://lh3.googleusercontent.com/pw/AP1GczPbFxRSt_FxiuMno3YBwxA1D5XU4GgwNarO_Q4bFCaMdJ2CKloOQdujXlEIcjSSEUPnjhEU_C3f17Kn-T6xqo0RYNPcFOQrCYVSncdM0YM-OhGNqvJhuDl2ylKt0bXSxmVrXe3ip8BizAQA_96FacMTUw=w949-h632-s-no?authuser=0,Large-billed Crow at a truckstop en route to Yangxian,15,0
https://lh3.googleusercontent.com/pw/AP1GczP9589gkp8Dd8Z1k255XFmZ811aE6_6EKlBzUNNzSR0RT8WWfdKbrJzPd_TceMNYcPIJ_cGtG_jVsSxZVIcQyTzf9Y6i-71a-mwgLkby2G7tVvvw5Anh2z05cbAfRkpcApVwL_8oAZUV5I0sb6aK9I2tg=w949-h632-s-no?authuser=0,A beautiful Asian Crested Ibis sails in for a landing at the stream in Yangxian,15,1
https://lh3.googleusercontent.com/pw/AP1GczPAKvC7jq7us2oNZ39LyApLEYAwyu-OOJ_OOCWpea8iMX-2rYX1N0KIbmh3xdcfJrKogTi-V-vTPU9ptAR-YLmSnHoIpHYBgVL4KQ-V_XiaG4LfbSj8eHLUNPvsaba51XmwE25T80u9jUl-YnaPyxtbGA=w949-h632-s-no?authuser=0,Asian Crested Ibis in flight at Yangxian - note how the crest feathers are flattened against the neck during flight,15,2
https://lh3.googleusercontent.com/pw/AP1GczMpry8zwBM_jD5lMikApbEcUR8ZP_gpZqc0F9ZlbQjZX7icOzhL7A0R64lI32ErulRWGSBIIQEG0BEiA2MvmaJlurJwyYXNfpyUZTNb5oVZPFqqLbTOBV4DQfDUZZ3Ir4xqb323b3Ioj0uD0kivneGxAw=w949-h632-s-no?authuser=0,"Asian Crested Ibis at Yangxian, clearly showing off his shaggy haircut",16,0
https://lh3.googleusercontent.com/pw/AP1GczPUenqFv2JzHVqgVu7jakEt1oHyvz3oOAZyBCcYUeLpoy6lBGRTGhQiufcOgUBMUl50uqpeqjDM3y-fODHZMNp5ZtctcwKuptkYd1BTSIu4cleZ-MGYBmmtbUbv8gsvdvb-AIptReBM8qr9RAUtxPyxqw=w949-h632-s-no?authuser=0,Up-close with an Asian Crested Ibis in Yangxian,16,1
https://lh3.googleusercontent.com/pw/AP1GczOu05nwmZs19im1tP2YQZZ5xQF8vF2yBdVW6yTIPcs2lQQpXgffaBaBeJEF71MUhNeOLPq4tAcpxg2lhpaHi5mTpYLL2I9JY9PpQbg6iysEfpI8zyjtN7rV7gX5q6WmieKMqGSIUqO9ZCs1uU7OVpSdnw=w949-h632-s-no?authuser=0,Little Egret (left) next to a Crested Ibis at Yangxian,16,2
https://lh3.googleusercontent.com/pw/AP1GczMQazPkTBOG7w9yQWb0OYt9dPA6lj0Wsaa70w_7UmY_ygJGqW70gsEupCMkjbjHhkIEhJKZe6pldBXUkrFRDmYbGeQ8PfiAof__8jepjyxWDShhyA1yckkywBc8wUpid8ktKhv5oKND7WEFMTrEYIetaw=w949-h632-s-no?authuser=0,A rather soggy immature Golden Snub-nosed Monkey,17,0
https://lh3.googleusercontent.com/pw/AP1GczPO7fhHAPIWlmhB2YYf8tsCITNIt-HL2jtpnQf8xSCRio8qc9V37DsWtgZOO4GKzGoHv3-UhR2i2PDPf0ydXbJmNKKEdA54DPY6aQd-8KHCnJR2HFojyMvIUwfXB_Nf0KUkNu-sbOWk7toD9BhukWI1Ig=w949-h632-s-no?authuser=0,An adult Golden Snub-nosed Monkey at Foping 'Panda Valley',17,1
https://lh3.googleusercontent.com/pw/AP1GczNrA5B9_ufTnwXWxSlnqOpSbJzb8HmTHbStfqBHHGFS3441FhferR-ixftVbjltrzXh5lEj626qfs5smxhohStWRNdvA6kGCFahT_02YSYSRa054e5LPrOiDlkGCpmdzwHtOLj9UVFSjtX9uKK_dC0wzg=w949-h632-s-no?authuser=0,"""Snub-nosed"" is not the half of it -- more like a Golden ""Nose-less"" Monkey!",17,2
