imagelink,imagetitle,pagerow,pagecolumn
https://lh3.googleusercontent.com/pw/AP1GczN2WZQA6rlovUyNv7flUtym8rNMjXJDBhO6MtNJbon5jX6QYU2qIB0nX9vdty123p-4NiHDa3gl6mTvYvpOcG1hJKQMJKVHEU3ORJpbvn0Y8ItAC6iBYEGcOlGZ4vdKC-azA-g6Tpk-Mx1Niy8v2zPu=w1244-h933-s-no?authuser=0,With Guide Sergio at Amagusa Reserve,6,0
https://lh3.googleusercontent.com/pw/AP1GczMtLl1PJTRO20jqqiXSauJb7HWPmAxNdxDgBMHxdbJqF38kn1t3mYlNC_AwgLZrK20-l9v0pW_rAoSvRaAK7bWYq4cH2EUqfUJ4yZ3M5L7lahR9YCWbvPm1eNzDUUh2NMnCZi5oa767WCSFZg9F2rs1=w1244-h933-s-no?authuser=0,Enjoying the View at the Mirador at Los Bancos,6,1
https://lh3.googleusercontent.com/pw/AP1GczMoXL2mFcdF9jwy0NfRs9O1voYel1WfTEnyVIP4VNBh-eXEL7C18tpGlpw7qVSg_3ojhoO3g5xAFHuzeBovTLRXfrrZO3s8if3Jwnu3fkimFBDNxIHtNYutw8BISeTpzPRf9d1r583FpOS5ptXzMgdI=w1244-h933-s-no?authuser=0,Sue at High Elevation,6,2
https://lh3.googleusercontent.com/pw/AP1GczN6d0a4w77Q7cqUBCvH0zcYGjfR2MlGz_FvkMgIoj7IntC8vY2jpmiPO9LV03ePKjXfVdgk3jaZGAXEnvAloh7IW1ZVVKG1nvkbjfVrYKyma57SnjMWQWnvjzhcFByAmg_xV2zvYMWTBXU7imVrDAxb=w1402-h933-s-no?authuser=0,Rose-faced Parrots Eating Plantains,7,0
https://lh3.googleusercontent.com/pw/AP1GczNpY03eFeow56VQuYBBz7VyWQ6RquoKew_VpGuAZUpWGhQp85y1e-l6LPKqChEWysW9MI_DjA65j-X1Oh1QvRUN0WvZcNydRK2pWeeQQ4oof8PSTObN01ZUfGbAYO-7qIz6OpqZHDW1ILVJodJBXLPO=w1402-h933-s-no?authuser=0,Another View of the Rose-faced Parrots,7,1
https://lh3.googleusercontent.com/pw/AP1GczMpC3RkKXQ0Pv2NoxJ4VXgp8rpG8LUgpxwqEAUBQS4MmR6Y8ypLraXAK31rwwWaMr4P7ePzkXgBh9zQZ5cIfEHEQn9B2C_VBk_bK6_A85NLZiR2AreMULRJr5ngslyupKGK7w2ZOuLZKibb4RVjqqYh=w1402-h933-s-no?authuser=0,Golden-crowned Flycatcher Eatinga Moth at Sachatamia Lodge,7,2
https://lh3.googleusercontent.com/pw/AP1GczOmLeZzKt70-cvOD6QK7l4MzR2ogjrciVLhjHCcqGlvwVB4_62sm3uj6odpfcB_SVoln1g5b79KNyAKIsn-lIVloR2aUUwQSMJGzLQul4NtUR02l6uLyMVwocyx57VFFQ7bxtV1hw_WlpltPb9g0z30=w1402-h933-s-no?authuser=0,Rufous-throated Tanager at Amagasa Reserve,8,0
https://lh3.googleusercontent.com/pw/AP1GczNkPLTD__WTjb0FswuqYjmMg2DwY2flD0BIdouwx9LoeG8h4plfn6GObNtOFZokD4p90HHXUfi31zecyne79L3nC44P8fWVLzG4WWYjBrBo0KYPZENfvs80_-n2-_WM3pW_Rpjf8fVIFSW-wEiwZXxX=w1402-h933-s-no?authuser=0,Golden Tanager,8,1
https://lh3.googleusercontent.com/pw/AP1GczPAiGmgv8sAXN9r1VQz36Z5IokcBV13sgPeZsjbbuTohuzcQyV28hfMiaaJmCmzePYTKqo3H-BRbkxbKj6_-JZ9ZfhlZG-vmvFgOUBz2TltpffRAW8IhoyLkK2F7EODFKGyYf6LRJXV0wSZIvmPqN1F=w1402-h933-s-no?authuser=0,Blue-capped Tanager,8,2
https://lh3.googleusercontent.com/pw/AP1GczOl3NaYkaVDmB-eoIuwABHn1B-6AzH-zoPwKxRNOVuImHDMTE62xdEOe4bmDx6SMHh9XB2zaQxQKoCJJjGDPBqLhuETcobxplk-PS-sin8TS2BNah1ERQ72_VAOm6bZAAJffAvZtIipj1IHhyi78BHk=w1402-h933-s-no?authuser=0,Flame-faced Tanager at Mirador at Los Bancos,9,0
https://lh3.googleusercontent.com/pw/AP1GczO8hy8soOMprK1Fi9KfKHHLl7Rew-GXqq5QRW68WpcYddInvvBMr_zP4SQBK41d2V08FGNrcfDtvu97IVanE3BYg7JTaJziMkRqHzxMWdaV6vXE-gGGk2Br2utgkTHVrth7psJ4PdtuxMXbxFD5eE72=w1403-h933-s-no?authuser=0,Blue-necked Tanager,9,1
https://lh3.googleusercontent.com/pw/AP1GczOMNVBbKhc_xDuwockedIAdM0E8PDiVv4Y5JafyZGZeMD20Sm9MwmDdQEN8IMkgWce_5_HqXzQ22Pq60QuJO4kf5sEGX85vNqZAKMXpv7ro5o8CaHIyDD4zsZI-CzgtWyKKWzQSo7k6-tGnE9XiyrnH=w1402-h933-s-no?authuser=0,Palm Tanager,9,2
