imagelink,imagetitle,pagerow,pagecolumn
https://lh3.googleusercontent.com/pw/AP1GczMcABM5ZzukcldUSyngHr-kVx_egNffkNBXWonCksutRPZMoqL4MAi-rQYW2vDqH8_dRW-7eNjgHcLC-DXA4uHgUGbPHBeDoJ2k78RElY5g1DPFi2limWDn2ypdBpRGWXfTJ-MSi4fOkexTWWNAGg7zVg=w948-h632-s-no?authuser=0,Baths of Constantine. Arles,10,0
https://lh3.googleusercontent.com/pw/AP1GczNXLfPlkPkMCQcv-DhDaZDUpK7iWnSdXRO45TygNtbOkN8OYeRG-epDGHKYpvK-ljWih5XqNaFkYwoFgj6VQoepHjP_BB6ufUKFfkf3lEQtKSA_ylCIFBnVolCekXgBjqjD9T263VPfzbAQ51rIJhXGyw=w948-h632-s-no?authuser=0,Aigues-Mortes,10,1
https://lh3.googleusercontent.com/pw/AP1GczMVBQ1Dt6chxSspo1WEaFc9nqmY3z2tQqGwrXOt9SEnpLPqTRux808fcns1KPaR-5xGAw_KIrEjVuXIke3Hz_G1S8J-ckDWtkXbN__YiHQm_FTk2Ay8RVmfxVrVc8100XMCpbvEslmSdSfnanpANjCfEA=w949-h632-s-no?authuser=0,"Shop window, Aigues-Mortes",10,2
https://lh3.googleusercontent.com/pw/AP1GczNs8rWX2Wn0c8eePLod4ooOfHTNZClQaP52fkrbti4x3m4t4SCP94ReH0wFFUtfFXOk5Vbg81N75F1rD9DC7lFaoaeLX-cFhRBJ797sAh0ijMPMyFq8IrT3ZpH_eCd0JuzNrWvxL6J8otvhdJ1iA2DtCg=w949-h632-s-no?authuser=0,"Musee d'Orsay, Paris",11,0
https://lh3.googleusercontent.com/pw/AP1GczO7IyFItbhTSitkneACQKjOyu7UBE7O8OrXGe5L_dNKw5mHq1s3xRLz1W69MMqDC3CszhLZCpURug_Rl82VLmiYR8iFJG27NvtRhEHWvDiUfiBA7TCZUhnExVOiSVExfNVNciXRT3ztM9OiMVxuYfOQSQ=w948-h632-s-no?authuser=0,"Clock inside Musee d'Orsay, Paris",11,1
https://lh3.googleusercontent.com/pw/AP1GczN9H6_D3YT7nxw8EIghoOJkBHgzvMW4sMyv7x_ImddDh6QMoNNsnFUPFzD-yNFTJFm7qO390wSaXfkbqukbEE98Fuf3Xkbruo3te_ZPu7Sh-iUNl7nA5Q5hN9wh45Hi8JrVS6KSEPXsGIvr4O08jCdN1g=w948-h632-s-no?authuser=0,"Statues at Musee d'Orsay, Paris",11,2
https://lh3.googleusercontent.com/pw/AP1GczM8fSJWw28WZPhFh7Qszqmrv9EfyWD3htMuJW5mb2mK9fiG5v83HvEq2ztjl1jOqUU617vBBf6pHj-9eqOWQ8-i5Ruo_d-c8yQcoYXZkd1qhM8JZjPnIwJCrf0JLe5YFf2dbZUZFtCKlaoh9cuoH6ruUA=w421-h632-s-no?authuser=0,"Notre Dame Cathedral, Paris",12,0
https://lh3.googleusercontent.com/pw/AP1GczNWnQO_rsx4tJc8GwuppPldUPpb3FSFLHZbA3wNOc_CqLvJ-04FpT-fs7P8NzfZtM--G4NMU9METs0L2wpKkxP1cG4mECVtRPAmQXjGaIiM4mBISZ7DSJDMWVWMJ_5tWPo8yOMIM8jeSXIIqyjhDJhK6A=w609-h632-s-no?authuser=0,Entry to Notre Dame,12,1
https://lh3.googleusercontent.com/pw/AP1GczM773FzXeb5kFqwpLxDs1xQt3xsC3nKVodlEIBWTHRc0pckcKsNU6Fqca9epVxZLqnDrtlmJQk5peZIXNdTCTA0oveleiacVUW9ynT1UzwcWqifSY2eiV12kSYfniApCLBML_UnwYHETrc3kY7xjaZdjw=w948-h632-s-no?authuser=0,"Detail from Notre Dame, Paris",12,2
https://lh3.googleusercontent.com/pw/AP1GczNzu3zq25_F8eFULJ0T8tTAVnyBSq5l34aGgt4WGYWU8d6xfp83xrBSWTp2i8A6s-8NW4Z377f3V790B5a6jLzyuBzvY0NXT1gVEhMEoeQPWqBXRW5oldCkLX0CH9IhqkXpyg5MRVwSVRUR1sNqMFT1HA=w949-h632-s-no?authuser=0,Detail from Notre Dame,13,0
