imagelink,imagetitle,pagerow,pagecolumn
https://lh3.googleusercontent.com/pw/AP1GczPk8nXjwlu9TpoQ3BtKULoexnGRsuJwg6ZNJVYUieH40RJhqSTW8jrUe1GGgyoV900xNnVzlLoTTedQE74z7D5LBdgQFujEFPX9Y7-EilfAJOe4aZ_f-PxKXt9WdI5TO0XDhwO8Q6zJ_4HAfmXEh0a_=w981-h653-s-no?authuser=0,Sue at Cooking School in Florence,16,0
https://lh3.googleusercontent.com/pw/AP1GczPNBqXu6jvwbXbkN3onhQxMoae8hgnd86412CIlGaTxihUa9bsY8O8ux7vsOChNjkwfYIKVreiStu8fx0R5VtBXHQQxJmeeASKgRLL9uk-7P2eGb-NKmWeEYxaAvDkBGRveDIvdr_3WzWe1oDdiV0wU=w981-h653-s-no?authuser=0,Shopping for pigeons at the market in Florence,16,1
https://lh3.googleusercontent.com/pw/AP1GczNS1JWfQfr3orPHB58qzb4AMc_zTU8lEMNRn7xl3qk3Aw-FGa59H-SQdiWnh__IxEca94YSV_mGY48pb0xH2pEHyhwZ0btnKNusl9nFZoDCtBNndmmf8CGeEQvToKIOUoEY53y80d2o6wbuLFwAwNqz=w981-h653-s-no?authuser=0,Enjoying the Meal we Cooked in Florence,16,2
https://lh3.googleusercontent.com/pw/AP1GczNcXuX6xHRegiacFsTdEKpZaUf-uYUhmG7AAWRHDWm7ym0k-PzfHAaMdrC2gnDpreXA2N4ruf-pdRRQU8FS7zFgBZpjTj_k_Y2jmlT4FWtICZe3POzeOMqxcz33bd0K-CL5ng8uZp2R0zgZ9ho98j-p=w490-h653-s-no?authuser=0,"Men can cook, too!",17,0
https://lh3.googleusercontent.com/pw/AP1GczNmpzT-GE3VDXot02KOoZVvXgrYAre5FV5cYl9jU2JHN7Eq2VigQjp1Y-3IgI38o74ovPWEHyN1Q9VWc3JRaM3TUtx6bqfMHQT3IFSM_KPES0DxJSaOdRTRs295NJDk-DiFQMF4hNTmhfguEjw7j11U=w490-h653-s-no?authuser=0,"Yes, we will turn this dead bird into lunch in just a few simple steps!",17,1
https://lh3.googleusercontent.com/pw/AP1GczPVk2NB_LL36QZl-tA89AHbBvSqH_0S6PpGAqlFcnTS7K5FwHWYXv6o-0_Axwwno35gEBX22dv2Q7RXACbVSeuviGF6eqzemrR2w9Al805uAo9-1MPabXTk-dYTTjVEXGqE2s9297y0MMtkMSQXFpA-=w384-h653-s-no?authuser=0,North Doors of the Florence Baptistery,17,2
https://lh3.googleusercontent.com/pw/AP1GczMxb3DeMhb88NvZMcSyhgio6MC5CMqHV2Fwlt6P66DkmPbd6BoxqO0zRhT5a3Rpud3sdHiN4QEn4hH8Z-d9-U3Cd7KNqaorHTZP3jAaCH6-rx4uTDLpzvBoHcp1qW3GHUpHp4cnK9NYy1rlDChu2ImU=w981-h653-s-no?authuser=0,The green vegetable in our frittata is something we can't get in the US.,18,0
https://lh3.googleusercontent.com/pw/AP1GczO7T4DQ6gOLMJcqmcNmyGvubVtllFOvTujVYVH_hiGX9HUfGvtH2yjCGshtawZNPUUSS_SnYO5jMRJpboNniB_oRgFheJedrPPE-tpNaIcVHk9WhjqIgNphP_d0hJZmPggt_HJCHb2Z1DTIUGEZN6g3=w981-h653-s-no?authuser=0,Old City Wall in Florence,18,1
https://lh3.googleusercontent.com/pw/AP1GczNzzZPrDTzL2tNNzyfHvWMb88goZh_xMb8k6BkyQhH6-1YwJARxzWr-zeuKCg65UeQQox0iij7UG_uHeCQKlvJulOyBIru9oBfJL0BgnBQSjCcYA6e7lt1Nj1Np21PTmmy_k242wzQzs07DDg5RgxWC=w981-h653-s-no?authuser=0,View of Florence under a cloudy sky,18,2
https://lh3.googleusercontent.com/pw/AP1GczPT60ugtaE-rCA7FgzjWAzBFKteC9pQnDBObR3pfY9YiOb7Ux9WokImhf0VYTGvU4DqEzo_VxOIGoxDJS2su8UubeEDwDZB74suiWJ9JjAc1Lx7T6Zn8swxB5knJ3WoHMbwWypXl9vZ_-OJWftUF9Fv=w981-h653-s-no?authuser=0,"Sue the Destroyer, not quite ready for knighthood",19,0
https://lh3.googleusercontent.com/pw/AP1GczOnQLDiqVXulnvKYzvny90YmSkiXPDrVgmsGSVvaRph0W6ycCmHyWmEYIeaVXC7MaUsv6JLbkEqHmgOK5pkzTKurPXJm5Xo_DCqp-j5gheVnNyfuysD_T-khYqtWZTs8PnyZab8G0Grvxj43Upz6UTu=w981-h653-s-no?authuser=0,"Santa Maria Church, Monteriggioni, Italy",19,1
https://lh3.googleusercontent.com/pw/AP1GczNvoOPTxf9KTyxNEKolPFFrxFrwu0Z-VaN24lk6eIx8GYVrw9XGSMFFWXJcCeIg3tLERgVmADYuiotE0Y7-3bLUp6ASpiom87ATsUG8XtaUJ2EAB51k7ksKdQ0j_m86sFstPN6ZpZQm-JBPilwvprgU=w871-h653-s-no?authuser=0,Early spring in the Cecchi vineyard,19,2
