imagelink,imagetitle,pagerow,pagecolumn
https://lh3.googleusercontent.com/pw/AP1GczNTm3E-DCFO82PlZlG3QkirJ6VvWqkaRQAOPAV6766kOe_dCAT_N_vHnmKjRhtvvETZttD66IsPnH9tHS5G6CB_-Fo7-67ArrkVshxzE0d2Y4k34_s4k4mxaBcsnxjNSAmqWkjRE4Op_vThcPn_RGZY=w946-h653-s-no?authuser=0,"Pantheon, Rome",33,0
https://lh3.googleusercontent.com/pw/AP1GczOMrRsG_c5ducF9sg1GAu3792By2QZP9HpmAzKZMZ660JZjroYy9q5ADxpjEqPFeVyFUhX1HSBwpQOha5VpAEVl4XpGDI_RTNf4nRVykukpBld5eNQXbaoJnAoT0Hetoknw6O85XPb917MMQXk2E5dk=w980-h653-s-no?authuser=0,Vatican City,33,1
https://lh3.googleusercontent.com/pw/AP1GczPhw13lwXxPvU4eLF1VocAyVGb8ndgWF4JfWF14inpN_8s6FrWcNCe5cA99I1nI7hsbuf_b-1B3O4JzzMropQy2Df7m5Q_l8YVS_-lMsylwakWCKRr3U0uQmHgy75O7rAuZEpiyGgITFbjCwuuMzKFO=w981-h653-s-no?authuser=0,"St. Peter's Basilica, Vatican",33,2
https://lh3.googleusercontent.com/pw/AP1GczPMDja63df1IGZX-INmMuxsFGcoMHdJSe5s7qWhBd25PryOUvMQpldosR9UYl6E7EIM7bRyZw8OO8nHE6zyQmZ_myt4MG3ua-RM5eYVN38NAFvYrB9Njbt24l_3NBJrqssz0knKtvoASuUWUFRwIVIM=w981-h653-s-no?authuser=0,St. Peter's Basilica,34,0
https://lh3.googleusercontent.com/pw/AP1GczOi7gjbdFfpPJDS29RLK2AU0CVzGpfE-1GdToHOH-cNwfLlx81xARllSwjmcTTjwt27_V8hL7BefDsNaMLBIYRfA0jT4Bt-B4BzXvicgT4QX_rw_XcxlRntzZY1MxLbrQ3VIgaveEwQMD0YwkzUz0FD=w777-h653-s-no?authuser=0,Monument to Leo XI in St. Peter's,34,1
https://lh3.googleusercontent.com/pw/AP1GczPLEJpzo2tfSXUdnP6lAbZfhCJpc2Z8JWr0ParXsMsytEoVznqzLSmdvzWyvQ3IzGofxc6iI3dARo7qQsLVemgtrEq7HWWZl46riMeLszmcZ3_M4NWiPOMemA0k8aaVS-SudQ0SPdsmQcKTf0ElKIgn=w980-h653-s-no?authuser=0,Michelangelo's Madonna della Pietà,34,2
https://lh3.googleusercontent.com/pw/AP1GczMtGyiZyihbMthBp5KtN4VSADy3jCTiJhWMvz5kGN4FTQlfHUtC1KmJ6XmcJjQv5zKn7iDZVDsvEkcVa9Mc9FRyyy_8fzFwXroTLyLl6vMUUW98eSe4ahSY40jaWzdE94yoYsVCtQjXoJBgCHZOKeRv=w548-h653-s-no?authuser=0,Inside St. Peter's,35,0
https://lh3.googleusercontent.com/pw/AP1GczNNC-bj-rdMuhFq8hi0CY-8dP8TEt9y9-2x-ypcK0m7BKha3qPjYy7Fq3V5kj9yX9vrK4j87wBAIYUJrojS431HxIbIK6G8ww_XkN86Y49rhf4To_-m8_XjxeiiMTizbU5loQ1FAFNbU0KJjGUnmm9W=w435-h653-s-no?authuser=0,"Bust of Emperor Claudius, Vatican",35,1
https://lh3.googleusercontent.com/pw/AP1GczMOsBbv5DvjW90W4L2vvZX4DgArSAUkqSOah3sPybLtth72Wku_L9EdMg0h8sg-4HxSjEprDC9c696-w5w8XFQPuOp7h0BnFT3Oyi7UeiXb8nM3RkyoMkuHTEb4xWYkFRPwuQftuBUrh9Wz1knP0jVX=w435-h653-s-no?authuser=0,"Resurrection of Jesus, Vatican Museum",35,2
https://lh3.googleusercontent.com/pw/AP1GczMmO-MxvL-J51Tr6IGHh7dJmv3OQvJgaG8-Far40NVEYt9mAVi0YC-cMdHoGHYZg76XFIq-wYNFchnELYeFOokohRks0Xum_xZjHawGtdwgmzcHA50hLM5-HbBdav9Fh2FskcmrYxqDprtFMsO805Ho=w981-h653-s-no?authuser=0,"Hellenistic Sculpture, Vatican",36,0
https://lh3.googleusercontent.com/pw/AP1GczPa6VDNCEavjGajKScyPOUYXEvSvtSKc-YupVQBaxS1Q867emywRIWqmBnOSDRmqeJ06m_44GnPUlKAegojy9SpY43Gaylc8xaVguic9B61HkLT7FFtt7RqBqBbPVKdGYniQXt1CyTzIal3svIPN3bR=w981-h653-s-no?authuser=0,"Vatican Museum, Floor Mosaic",36,1
https://lh3.googleusercontent.com/pw/AP1GczMu0IYczdVJHLk_2yUWseX8tW6xDwsXxkNE4wPVJ95FubI8rW8Kc-RnGBQcJgyXB6H5NbGZLBMn-UxFGM7LjtwosCvc3CVVSlI5qEWqX1ku3Re73C0gItRGNGmHIIcTic33HA4LTEYUsQc477q-AT-S=w981-h653-s-no?authuser=0,"Bust of Pope Leo XIII, Vatican",36,2
https://lh3.googleusercontent.com/pw/AP1GczNtM8xMGdm5qvuD6P0Px5rz5AxNACVogxRy05KOu2p7-XACY2lV9wWt_K8yP_ll-c8wLUupVSd4kwlQP70M6tX_koh7IjZA-w09RV2qceTaCtYhdSiIwiBT2c2UsCTwiP8pCFtpZ_KuMZTmrDnpICIH=w980-h653-s-no?authuser=0,Tapestry of the Adoration of the Christ Child,37,0
https://lh3.googleusercontent.com/pw/AP1GczMmV0kW8ICWP22SU6YKYPzhXnkwh99O8N586OsClp_r3Aek8tRYrd0ryDcqqWJEkpt5IjDtulPVvh-t3S9Jwlypnnw5CcwOTX88y0K0z7tgfLK0FBEQhtTuWQhmfMeuXEx7ZHX-cKwOIbU8Dl1z7wZZ=w981-h653-s-no?authuser=0,"Persian Warrior, Vatican Museum",37,1
https://lh3.googleusercontent.com/pw/AP1GczOJ9x69vw1HS09LXEQm8Qq5h5r8YEyOLgVOaioGCPbry5P80rUGJOrGM5bPPThowYzW5D0TXzXKd0F09jVzJ1GyBMU33Z0wiJup8VlNZehZctdqHeOyOneLzLH2gQNDRWBsMq6dZMh3YDLV5CenmBA1=w980-h653-s-no?authuser=0,Ceiling in Vatican Museum,37,2
https://lh3.googleusercontent.com/pw/AP1GczOLl65kcWqZEgz-ApUzffbfaxgFsWOa__5Ii294wc_5Y-jOosMfWtAbxULK97HIX4ZPB7kTUaxcK8_Z912n7vIYPGUe8f5nz-TCXh728Qg9P9ls682tBOdenNYNykcopvTF9m_3zu7IUF8oNTElEgmv=w980-h653-s-no?authuser=0,Map in Vatican Museum,38,0
https://lh3.googleusercontent.com/pw/AP1GczMwdxbVMjtC98DCy-iDapu9Q--RgFx4sZVcwQo2m4NSBba5o49v227z7zrgUiOC-xxzy59U9bqMJf4o3RXnUepdJXCUdIoBk97RdJTwetMlDAdisVzKYZNP-HoPr8CEJeJLL-tFK_ocY91Ga3CoSryv=w981-h653-s-no?authuser=0,"The School of Athens, Raphael, Vatican Museum",38,1
https://lh3.googleusercontent.com/pw/AP1GczNfiAs1JLasJiqxFPTL2YU2-6oCgxwu5PYKatDYA0pbY7RMRtdIaaVGgV-vORprvhfEN2oLBGkRZY9WWCeJY-v35zgATzf8OtRz9puSvaWV4It0Ki_WuFoaVFJdbkc7Dr38NWhxwsAmmxFfLQUwCC14=w981-h653-s-no?authuser=0,The unflappable Swiss Guards -- try getting these guys to wave or smile for a photo!,38,2
