imagelink,imagetitle,pagerow,pagecolumn
https://lh3.googleusercontent.com/pw/AP1GczMrtLsKjxixpSqkkl0Mj4oMZCZ59f5XDrRQhqb3AHvM0pxM1Wh-zUqkdp8gItr52ccWns7oG-2HlN7kL6g4S-VQZJTSGliAaxbvl0horPVR4I3JhRn7jonQ1a0mH8HHvpNWR3oVd_XDLz5V7zXjQVtT=w949-h632-s-no?authuser=0,"The national bird of Uganda, the Grey Crowned Crane",15,0
https://lh3.googleusercontent.com/pw/AP1GczNGFWOjrEg647UslUWjILtCBxYpZ6jS3hisKyR3ygzLefYvK5dBcaKOPDE95YXmIxmdCO2R_g8kA946moAuCD7k3YxwsnOg40gdmBpKeygI_vt4aJRaVmnjuuCtK3bAem42Ii4pQcLohyc3BxR_gtYg=w950-h632-s-no?authuser=0,Collared Sunbird in its nest,15,1
https://lh3.googleusercontent.com/pw/AP1GczNTCcJa7hXGeoeY5f1uoOu64kz0m4JamfJZsdjk2wvt7468GQ3GZLAqZcGGnqvwbCzuUIF6B_2TFBONgq_rDie7J1ovcEeG5pFAeV59Yt2H7m7BT_aSHX3HSMFk3w6NlZevCOq2LQS7cdqk0BofjImj=w949-h632-s-no?authuser=0,A Great Blue Turaco shows off its outrageous topknot.,15,2
https://lh3.googleusercontent.com/pw/AP1GczO3YbLxJjxTh57weY3-Hf5IW4fNtYucx77R8RAdndu0QgI8flCCYHiaJG0O5DDH8Tnw0m-fgsqbWngBDBLf3rSGRmgubffoTuccbgA2nVIiGNX8IuMj-EXQO3adkyfovKk2bMeDM7_w7KCZ9bNwu4nC=w950-h632-s-no?authuser=0,A male Pin-tailed Whydah moulting out of breeding plumage,16,0
https://lh3.googleusercontent.com/pw/AP1GczN89o65Qyg6AUlPEfQr6nVYEE_r2am08-IpAmhUcPchC7OMucH0Cvq2sunnUzazn0d3Wh00GdoMxSBZj3tdM5WH3Vea4hjlKNiF7mDweRfMEtbnrZCsjnyF-vmXghZFX7o-Or6rG-sziJbeHqNYFY8L=w949-h632-s-no?authuser=0,A Black-shouldered Kite eyeing us warily,16,1
https://lh3.googleusercontent.com/pw/AP1GczN5HyhHKQ3zNfznNQ48cL0eR4-JWSftgk8mT47tw4-M9a9BK4bS1e5nGZA1mFFV7OfSDARsKm4Y6gT7cfGpx8BOVCpmG7UUmjjE9mnicbl-gllg00bMB93YTLf7GmrHZdDVqUDdIw190PTNQHMaHTkc=w949-h632-s-no?authuser=0,Ruppell's Long-tailed Starling,16,2
https://lh3.googleusercontent.com/pw/AP1GczO_FCZ25qTkdtV3LaNCKKwrDCPHddVXahOB-HBwv1GJPA6-PgcjFGrSy4hMpuS5EKcacbQtCsYrAl-vnOL4nkm78p7VMpCS7bLNplnPPJ70bERsTMHuJ6WCA3W229_uLoC-7mz8PvWOrDAAHtLXgRd3=w949-h632-s-no?authuser=0,This rare leucistic Malachite Kingfisher was found along the shores of the Kazinga Channel.,17,0
https://lh3.googleusercontent.com/pw/AP1GczMHESa4M-iivpCOkV5SabMJinltGE5AN9znbVmnJxU88jllTNCjC40drkUmlRBsvWKP1bnZKYbwbXoJUwWHN0gM0pCe_91wntiEqOMS9LwAdjD1VNMRA-nhbEvaL04VowoBis4rTD3xiFYSyc_x8dyw=w949-h632-s-no?authuser=0,Malachite Kingfisher-- this is the normal plumage,17,1
https://lh3.googleusercontent.com/pw/AP1GczMGpEaycXqlEAXnGiRwS8k3mYWBxbFomBjmhaNQ2BA5lMOFPJb0oC5a64StEZGi4UDEneJZesh23fEzjzpiSQNkyMxkIb_TLmgBznscKzF9XyiqZL5ZodKlMv2Io948gECx6s7jm2QtjujHAvN57UPz=w949-h632-s-no?authuser=0,A Pied Kingfisher resting on a bank at the Kazinga Channel,17,2
https://lh3.googleusercontent.com/pw/AP1GczO0MlhOZwwHPXqqpOmOHPzobUkDR2zrHVSHX1sAKfpMS1BNPumCtHcRuTG32p3Gn1w2NVSsxDg1-SD5Dy6101M0CopAvYkVOKMKQkaUvMZRNvW0PzJ0kvFep8f30M-utwimHlMBJtJZFlovjD38SaBd=w949-h632-s-no?authuser=0,Front view of one of the many Pied Kingfishers along the Kazinga Channel,18,0
